institution,state,year,female_applicants,male_applicants,us_news_rank,pct_out_state,source_url
Tulane University,Louisiana,2018,25200,19800,44,0.83,toy data
Tulane University,Louisiana,2019,26414,20586,44,0.83,toy data
Tulane University,Louisiana,2020,26784,21216,44,0.83,toy data
Tulane University,Louisiana,2021,28000,22000,44,0.83,toy data
Tulane University,Louisiana,2022,27948,23052,44,0.83,toy data
Rice University,Texas,2018,12650,10350,17,0.74,toy data
Rice University,Texas,2019,13248,10752,17,0.74,toy data
Rice University,Texas,2020,13875,11125,17,0.74,toy data
Rice University,Texas,2021,14378,11622,17,0.74,toy data
Rice University,Texas,2022,14092,11908,17,0.74,toy data
Vanderbilt University,Tennessee,2018,19380,14620,13,0.90,toy data
Vanderbilt University,Tennessee,2019,19880,15120,13,0.90,toy data
Vanderbilt University,Tennessee,2020,20592,15408,13,0.90,toy data
Vanderbilt University,Tennessee,2021,21127,15873,13,0.90,toy data
Vanderbilt University,Tennessee,2022,20646,16354,13,0.90,toy data
University of Oklahoma,Oklahoma,2018,9720,8280,97,0.38,toy data
University of Oklahoma,Oklahoma,2019,10046,8454,97,0.38,toy data
University of Oklahoma,Oklahoma,2020,10009,8491,97,0.38,toy data
University of Oklahoma,Oklahoma,2021,10298,8702,97,0.38,toy data
University of Oklahoma,Oklahoma,2022,10089,8911,97,0.38,toy data
Northwestern University,Illinois,2018,20800,19200,9,0.78,toy data
Northwestern University,Illinois,2019,21361,19639,9,0.78,toy data
Northwestern University,Illinois,2020,21924,20076,9,0.78,toy data
Northwestern University,Illinois,2021,22360,20640,9,0.78,toy data
Northwestern University,Illinois,2022,23056,20944,9,0.78,toy data
Stanford University,California,2018,24480,23520,3,0.72,toy data
Stanford University,California,2019,25088,23912,3,0.72,toy data
Stanford University,California,2020,24941,24059,3,0.72,toy data
Stanford University,California,2021,25550,24450,3,0.72,toy data
Stanford University,California,2022,26265,24735,3,0.72,toy data
Brown University,Rhode Island,2018,20140,17860,13,0.87,toy data
Brown University,Rhode Island,2019,20592,18408,13,0.87,toy data
Brown University,Rhode Island,2020,21240,18760,13,0.87,toy data
Brown University,Rhode Island,2021,21689,19311,13,0.87,toy data
Brown University,Rhode Island,2022,22386,19614,13,0.87,toy data
University of Colorado Boulder,Colorado,2018,17500,17500,97,0.43,toy data
University of Colorado Boulder,Colorado,2019,17836,17764,97,0.43,toy data
University of Colorado Boulder,Colorado,2020,18108,17892,97,0.43,toy data
University of Colorado Boulder,Colorado,2021,18323,18177,97,0.43,toy data
University of Colorado Boulder,Colorado,2022,18722,18278,97,0.43,toy data

