UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100663, 1,  1,"R",1954,"R",1926
100663, 4,  4,"R",1,"R",1
100663, 5,  5,"R",1,"R",1
100663, 6,  6,"R",11,"R",11
100663, 8,  8,"R",2,"R",2
100663,11, 11,"R",1,"R",1
100663,12, 12,"R",25,"R",25
100663,13, 13,"R",124,"R",122
100663,17, 17,"R",12,"R",12
100663,18, 18,"R",1,"R",1
100663,20, 20,"R",1,"R",1
100663,21, 21,"R",3,"R",3
100663,22, 22,"R",13,"R",13
100663,24, 24,"R",5,"R",5
100663,25, 25,"R",1,"R",1
100663,26, 26,"R",7,"R",7
100663,27, 27,"R",3,"R",3
100663,28, 28,"R",32,"R",32
100663,29, 29,"R",3,"R",3
100663,31, 31,"R",1,"R",1
100663,32, 32,"R",1,"R",1
100663,33, 33,"R",1,"R",1
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",3,"R",3
100663,37, 37,"R",7,"R",7
100663,39, 39,"R",3,"R",3
100663,42, 42,"R",4,"R",4
100663,45, 45,"R",5,"R",5
100663,47, 47,"R",50,"R",49
100663,48, 48,"R",28,"R",27
100663,51, 51,"R",3,"R",3
100663,53, 53,"R",2,"R",2
100663,55, 55,"R",5,"R",5
100663,58,999,"R",2314,"R",2282
100663,78, 78,"R",1,"R",1
100663,89,999,"R",1,"R",1
100663,90, 90,"R",31,"R",30
100663,99, 99,"R",2346,"R",2313
100706, 1,  1,"R",936,"R",807
100706, 2,  2,"R",2,"R",1
100706, 4,  4,"R",1,"R",1
100706, 5,  5,"R",1,"R",1
100706, 6,  6,"R",6,"R",6
100706, 8,  8,"R",4,"R",4
100706, 9,  9,"R",3,"R",3
100706,12, 12,"R",20,"R",10
100706,13, 13,"R",41,"R",35
100706,15, 15,"R",1,"R",0
100706,16, 16,"R",1,"R",1
100706,17, 17,"R",36,"R",35
100706,18, 18,"R",4,"R",4
100706,21, 21,"R",43,"R",38
100706,22, 22,"R",7,"R",6
100706,23, 23,"R",1,"R",1
100706,24, 24,"R",2,"R",2
100706,25, 25,"R",1,"R",1
100706,26, 26,"R",7,"R",7
100706,27, 27,"R",7,"R",5
100706,28, 28,"R",18,"R",18
100706,29, 29,"R",17,"R",17
100706,31, 31,"R",1,"R",1
100706,32, 32,"R",1,"R",1
100706,33, 33,"R",2,"R",2
100706,34, 34,"R",1,"R",1
100706,35, 35,"R",1,"R",1
100706,36, 36,"R",6,"R",6
100706,37, 37,"R",27,"R",23
100706,39, 39,"R",15,"R",12
100706,40, 40,"R",2,"R",2
100706,42, 42,"R",5,"R",5
100706,45, 45,"R",14,"R",12
100706,47, 47,"R",190,"R",173
100706,48, 48,"R",14,"R",12
100706,51, 51,"R",15,"R",13
100706,53, 53,"R",1,"R",1
100706,54, 54,"R",1,"R",0
100706,55, 55,"R",5,"R",5
100706,57, 57,"R",3,"R",3
100706,58,999,"R",1463,"R",1276
100706,90, 90,"R",34,"R",10
100706,99, 99,"R",1497,"R",1286
100724, 1,  1,"R",580,"R",566
100724, 4,  4,"R",2,"R",2
100724, 5,  5,"R",3,"R",3
100724, 6,  6,"R",23,"R",23
100724, 8,  8,"R",1,"R",1
100724,11, 11,"R",2,"R",2
100724,12, 12,"R",75,"R",75
100724,13, 13,"R",160,"R",159
100724,17, 17,"R",20,"R",20
100724,18, 18,"R",3,"R",3
100724,21, 21,"R",2,"R",2
100724,22, 22,"R",8,"R",7
100724,24, 24,"R",6,"R",6
100724,25, 25,"R",1,"R",1
100724,26, 26,"R",16,"R",16
100724,28, 28,"R",7,"R",6
100724,29, 29,"R",8,"R",8
100724,31, 31,"R",1,"R",1
100724,32, 32,"R",7,"R",6
100724,34, 34,"R",3,"R",3
100724,35, 35,"R",1,"R",1
100724,36, 36,"R",1,"R",1
100724,37, 37,"R",3,"R",3
100724,39, 39,"R",16,"R",16
100724,41, 41,"R",1,"R",1
100724,42, 42,"R",2,"R",2
100724,45, 45,"R",2,"R",2
100724,47, 47,"R",15,"R",14
100724,48, 48,"R",19,"R",19
100724,50, 50,"R",1,"R",1
100724,51, 51,"R",2,"R",2
100724,53, 53,"R",2,"R",2
100724,55, 55,"R",5,"R",5
100724,58,999,"R",998,"R",979
100724,72, 72,"R",3,"R",3
100724,89,999,"R",3,"R",3
100724,90, 90,"R",18,"R",13
100724,99, 99,"R",1019,"R",995
100751, 1,  1,"R",2533,"R",2524
100751, 4,  4,"R",36,"R",36
100751, 5,  5,"R",32,"R",32
100751, 6,  6,"R",208,"R",208
100751, 8,  8,"R",82,"R",82
100751, 9,  9,"R",61,"R",61
100751,10, 10,"R",8,"R",8
100751,11, 11,"R",3,"R",3
100751,12, 12,"R",268,"R",267
100751,13, 13,"R",502,"R",500
100751,15, 15,"R",1,"R",1
100751,16, 16,"R",2,"R",2
100751,17, 17,"R",379,"R",379
100751,18, 18,"R",57,"R",57
100751,19, 19,"R",6,"R",6
100751,20, 20,"R",23,"R",23
100751,21, 21,"R",70,"R",70
100751,22, 22,"R",119,"R",119
100751,23, 23,"R",14,"R",14
100751,24, 24,"R",108,"R",108
100751,25, 25,"R",82,"R",79
100751,26, 26,"R",88,"R",88
100751,27, 27,"R",22,"R",21
100751,28, 28,"R",92,"R",92
100751,29, 29,"R",96,"R",96
100751,30, 30,"R",3,"R",3
100751,31, 31,"R",8,"R",8
100751,32, 32,"R",12,"R",12
100751,33, 33,"R",18,"R",18
100751,34, 34,"R",202,"R",202
100751,35, 35,"R",9,"R",9
100751,36, 36,"R",178,"R",178
100751,37, 37,"R",125,"R",125
100751,38, 38,"R",3,"R",3
100751,39, 39,"R",119,"R",119
100751,40, 40,"R",16,"R",15
100751,41, 41,"R",9,"R",9
100751,42, 42,"R",141,"R",141
100751,44, 44,"R",16,"R",16
100751,45, 45,"R",68,"R",68
100751,46, 46,"R",2,"R",2
100751,47, 47,"R",290,"R",288
100751,48, 48,"R",294,"R",294
100751,49, 49,"R",5,"R",5
100751,50, 50,"R",7,"R",7
100751,51, 51,"R",163,"R",163
100751,53, 53,"R",27,"R",27
100751,54, 54,"R",5,"R",5
100751,55, 55,"R",56,"R",56
100751,56, 56,"R",2,"R",2
100751,57, 57,"R",13,"R",11
100751,58,999,"R",6683,"R",6662
100751,90, 90,"R",81,"R",81
100751,99, 99,"R",6764,"R",6743
100760, 1,  1,"R",376,"R",303
100760,12, 12,"R",2,"R",2
100760,13, 13,"R",4,"R",4
100760,17, 17,"R",1,"R",1
100760,22, 22,"R",1,"R",1
100760,23, 23,"R",1,"R",1
100760,25, 25,"R",2,"R",1
100760,26, 26,"R",1,"R",1
100760,48, 48,"R",1,"R",0
100760,57, 57,"R",1,"R",0
100760,58,999,"R",390,"R",314
100760,98, 98,"R",6,"A",
100760,99, 99,"R",396,"R",314
100830, 1,  1,"R",566,"R",479
100830, 4,  4,"R",1,"R",1
100830,12, 12,"R",10,"R",10
100830,13, 13,"R",8,"R",8
100830,17, 17,"R",3,"R",1
100830,21, 21,"R",1,"R",1
100830,22, 22,"R",3,"R",3
100830,24, 24,"R",1,"R",1
100830,32, 32,"R",1,"R",1
100830,34, 34,"R",1,"R",1
100830,37, 37,"R",1,"R",1
100830,39, 39,"R",2,"R",2
100830,47, 47,"R",3,"R",3
100830,48, 48,"R",2,"R",2
100830,51, 51,"R",1,"R",1
100830,57, 57,"R",1,"R",1
100830,58,999,"R",605,"R",516
100830,90, 90,"R",21,"R",3
100830,99, 99,"R",626,"R",519
100858, 1,  1,"R",2605,"R",2558
100858, 4,  4,"R",4,"R",3
100858, 5,  5,"R",7,"R",7
100858, 6,  6,"R",61,"R",61
100858, 8,  8,"R",22,"R",22
100858, 9,  9,"R",8,"R",8
100858,10, 10,"R",1,"R",1
100858,11, 11,"R",1,"R",1
100858,12, 12,"R",245,"R",242
100858,13, 13,"R",784,"R",777
100858,16, 16,"R",2,"R",2
100858,17, 17,"R",73,"R",70
100858,18, 18,"R",17,"R",17
100858,19, 19,"R",1,"R",1
100858,20, 20,"R",6,"R",6
100858,21, 21,"R",23,"R",23
100858,22, 22,"R",22,"R",22
100858,23, 23,"R",1,"R",1
100858,24, 24,"R",47,"R",47
100858,25, 25,"R",19,"R",19
100858,26, 26,"R",7,"R",7
100858,27, 27,"R",9,"R",9
100858,28, 28,"R",17,"R",16
100858,29, 29,"R",16,"R",16
100858,30, 30,"R",2,"R",2
100858,31, 31,"R",1,"R",1
100858,33, 33,"R",3,"R",3
100858,34, 34,"R",55,"R",55
100858,35, 35,"R",2,"R",2
100858,36, 36,"R",30,"R",28
100858,37, 37,"R",103,"R",102
100858,38, 38,"R",1,"R",1
100858,39, 39,"R",25,"R",25
100858,40, 40,"R",3,"R",3
100858,41, 41,"R",1,"R",1
100858,42, 42,"R",37,"R",37
100858,45, 45,"R",42,"R",41
100858,46, 46,"R",2,"R",2
100858,47, 47,"R",165,"R",163
100858,48, 48,"R",206,"R",205
100858,49, 49,"R",1,"R",1
100858,50, 50,"R",2,"R",2
100858,51, 51,"R",64,"R",63
100858,53, 53,"R",5,"R",4
100858,54, 54,"R",2,"R",2
100858,55, 55,"R",8,"R",8
100858,58,999,"R",4758,"R",4687
100858,90, 90,"R",3,"R",3
100858,98, 98,"R",47,"A",
100858,99, 99,"R",4808,"R",4690
100937, 1,  1,"R",204,"R",193
100937, 6,  6,"R",1,"R",1
100937, 8,  8,"R",1,"R",1
100937,12, 12,"R",16,"R",16
100937,13, 13,"R",45,"R",43
100937,18, 18,"R",3,"R",3
100937,22, 22,"R",5,"R",5
100937,24, 24,"R",1,"Z",0
100937,27, 27,"R",1,"R",1
100937,28, 28,"R",6,"R",6
100937,29, 29,"R",1,"R",1
100937,37, 37,"R",7,"R",7
100937,39, 39,"R",1,"R",1
100937,40, 40,"R",1,"R",1
100937,42, 42,"R",1,"R",1
100937,45, 45,"R",1,"R",1
