institution,department,policy_applies_to,policy_type,policy_pdf,policy_link,date_updated_or_searched,source_note
Ohio State University,,Undergraduate Students; Graduate Students; Professional Students,Pregnancy Accommodations,,https://titleix.osu.edu/,,"Sample from The Pregnant Scholar policy directory page"
Purdue University,,Undergraduate Students; Graduate Students; Professional Students,Parental Leave Policy; Pregnancy Accommodations,,https://www.purdue.edu/,,"Sample from The Pregnant Scholar policy directory page"
University of Alabama,,Undergraduate Students; Graduate Students; Professional Students,Pregnancy Accommodations,,https://www.ua.edu/,,"Sample from The Pregnant Scholar policy directory page"
University of Georgia,,Undergraduate Students; Graduate Students; Professional Students; Postdocs; Staff; Faculty,Pregnancy Accommodations,,https://eoo.uga.edu/,,"Sample from The Pregnant Scholar policy directory page"
University of Colorado Boulder,,Undergraduate Students; Graduate Students; Professional Students; Postdocs; Staff; Faculty,Pregnancy Accommodations,,https://www.colorado.edu/,,"Sample from The Pregnant Scholar policy directory page"
University of Oklahoma,,Undergraduate Students; Graduate Students,Pregnancy Accommodations,FAQs-Pregnant-and-Parenting-Students.pdf,,,"Sample from The Pregnant Scholar policy directory page"
The University of Tennessee Knoxville,,Undergraduate Students; Graduate Students; Professional Students,Pregnancy Accommodations,Student-Pregnancy-Accommodations-Policy-UTK.pdf,https://titleix.utk.edu/,,"Sample from The Pregnant Scholar policy directory page"
The University of Kansas,,Undergraduate Students; Graduate Students; Professional Students,Parental Leave Policy; General Family Friendly Procedures; Breastfeeding Accommodations; Pregnancy Accommodations; Grant/Stipend Opportunity,Student-Parent-Handbook-UKansas.pdf,https://emilytaylorcenter.ku.edu/,,"Sample from The Pregnant Scholar policy directory page"
Cornell University,Graduate School,Graduate Students; Professional Students,Parental Leave Policy; General Family Friendly Procedures; Breastfeeding Accommodations; Pregnancy Accommodations; Grant/Stipend Opportunity,Cornell.pdf,https://www.dfa.cornell.edu/,,"Sample from The Pregnant Scholar policy directory page"
Tulane University,Office of Graduate and Postdoctoral Studies,Graduate Students; Professional Students; Postdocs,Parental Leave Policy; Pregnancy Accommodations; Grant/Stipend Opportunity,,https://ogps.tulane.edu/,,"Sample from The Pregnant Scholar policy directory page"
Princeton University,Graduate School,Graduate Students,Parental Leave Policy,,https://gradschool.princeton.edu/,2007-04-02,"Sample from The Pregnant Scholar policy directory page"

